2026-09-18 18:38:57,009 - evaluate - INFO - [sparse] PAO BANK LIMITED | Operational risk | correct=True | 15.5s
2026-09-18 18:38:57,905 - evaluate - INFO - [sparse] PAO BANK LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 13.0s
2026-09-18 18:39:01,491 - evaluate - INFO - [sparse] PAO BANK LIMITED | Leverage ratio | correct=False | 16.2s
2026-09-18 18:39:02,038 - evaluate - INFO - [sparse] PAO BANK LIMITED | Minimum leverage ratio requirement | correct=False | 14.2s
2026-09-18 18:39:04,703 - evaluate - INFO - [sparse] PAO BANK LIMITED | Market risk | correct=True | 23.7s
2026-09-18 18:39:05,824 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Tier 1 | correct=True | 17.0s
2026-09-18 18:39:08,757 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Common Equity Tier 1 (CET1) ratio | correct=True | 16.9s
2026-09-18 18:39:11,080 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Total capital ratio | correct=True | 14.1s
2026-09-18 18:39:13,299 - evaluate - INFO - [sparse] WELAB BANK LIMITED | LMR | correct=False | 15.4s
2026-09-18 18:39:13,518 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Total RWA | correct=True | 23.2s
2026-09-18 18:39:14,960 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Operational risk | correct=True | 12.9s
2026-09-18 18:39:18,534 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Market risk | correct=True | 17.0s
2026-09-18 18:39:18,908 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 14.2s
2026-09-18 18:39:23,074 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Minimum leverage ratio requirement | correct=False | 14.3s
2026-09-18 18:39:26,528 - evaluate - INFO - [sparse] ZA BANK LIMITED | Total RWA | correct=False | 13.2s
2026-09-18 18:39:28,068 - evaluate - INFO - [sparse] WELAB BANK LIMITED | Leverage ratio | correct=False | 22.2s
2026-09-18 18:39:30,461 - evaluate - INFO - [sparse] ZA BANK LIMITED | Common Equity Tier 1 (CET1) ratio | correct=True | 16.9s
2026-09-18 18:39:33,513 - evaluate - INFO - [sparse] ZA BANK LIMITED | Tier 1 | correct=False | 22.4s
2026-09-18 18:39:34,291 - evaluate - INFO - [sparse] ZA BANK LIMITED | LMR | correct=False | 15.8s
2026-09-18 18:39:37,680 - evaluate - INFO - [sparse] ZA BANK LIMITED | Market risk | correct=False | 18.8s
2026-09-18 18:39:38,389 - evaluate - INFO - [sparse] ZA BANK LIMITED | Total capital ratio | correct=True | 23.4s
2026-09-18 18:39:38,400 - evaluate - INFO - [sparse] ZA BANK LIMITED | Operational risk | correct=False | 15.3s
2026-09-18 18:39:42,285 - evaluate - INFO - [sparse] ZA BANK LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=False | 15.8s
2026-09-18 18:39:44,548 - evaluate - INFO - [sparse] ZA BANK LIMITED | Leverage ratio | correct=False | 16.5s
2026-09-18 18:39:44,967 - evaluate - INFO - [sparse] ZA BANK LIMITED | Minimum leverage ratio requirement | correct=False | 14.5s
2026-09-18 18:39:47,734 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Tier 1 | correct=True | 14.2s
2026-09-18 18:39:49,056 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Total RWA | correct=True | 14.8s
2026-09-18 18:39:52,113 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 14.4s
2026-09-18 18:39:53,193 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | LMR | correct=True | 14.8s
2026-09-18 18:39:56,165 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Market risk | correct=True | 13.9s
2026-09-18 18:39:58,824 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Operational risk | correct=True | 14.3s
2026-09-18 18:40:00,028 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 15.1s
2026-09-18 18:40:01,164 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Total capital ratio | correct=True | 22.8s
2026-09-18 18:40:03,186 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Leverage ratio | correct=False | 15.5s
2026-09-18 18:40:04,725 - evaluate - INFO - [sparse] STANDARD CHARTERED BANK (HONG KONG) LIMITED | Minimum leverage ratio requirement | correct=False | 15.7s
2026-09-18 18:40:06,712 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Total RWA | correct=True | 13.5s
2026-09-18 18:40:06,949 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Tier 1 | correct=True | 14.8s
2026-09-18 18:40:10,236 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Total capital ratio | correct=True | 11.4s
2026-09-18 18:40:11,269 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 15.1s
2026-09-18 18:40:12,814 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | LMR | correct=True | 12.8s
2026-09-18 18:40:15,030 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Market risk | correct=True | 13.9s
2026-09-18 18:40:16,981 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Operational risk | correct=True | 13.8s
2026-09-18 18:40:18,404 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 13.7s
2026-09-18 18:40:20,604 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Minimum leverage ratio requirement | correct=False | 13.7s
2026-09-18 18:40:24,126 - evaluate - INFO - [sparse] BANK OF COMMUNICATIONS (HONG KONG) LIMITED | Tier 1 | correct=True | 13.9s
2026-09-18 18:40:25,715 - evaluate - INFO - [sparse] BANK OF COMMUNICATIONS (HONG KONG) LIMITED | Total RWA | correct=True | 14.4s
2026-09-18 18:40:26,259 - evaluate - INFO - [sparse] CHINA CITIC BANK INTERNATIONAL LIMITED | Leverage ratio | correct=False | 19.5s
